OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
180,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mackay,Operational,Open Cycle Gas Turbine,Natural Gas,30,1,West Mackay,Queensland,5,149.1591041,-21.144553
181,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Roma,Operational,Open Cycle Gas Turbine,Natural Gas,80,2,Roma,Queensland,5,148.8402056,-26.5771881
182,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Swanbank B,Decommissioned,Steam Subcritical,Coal,480,4,Swanbank,Queensland,5,152.8144581,-27.6600529
183,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Swanbank E,Operational,Combined Cycle Gas Turbine,Natural Gas,385,1,Swanbank,Queensland,5,152.8179442,-27.6553617
184,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wivenhoe Hydroelectric,Operational,Hydroelectric - Pumped Storage,Water,500,2,Split Yard Creek,Queensland,5,152.6320337,-27.3722088
185,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Barron Gorge,Operational,Hydroelectric - Run of River,Water,60,2,Kuranda,Queensland,4,145.6465027,-16.8501857
186,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Braemar 1,Operational,Open Cycle Gas Turbine,Natural Gas,504,3,Kogan,Queensland,5,150.9053432,-27.1109213
187,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Braemar 2,Operational,Open Cycle Gas Turbine,Natural Gas,519,3,Kogan,Queensland,3,150.9048846,-27.1127985
188,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Condamine A,Operational,Combined Cycle Gas Turbine,Natural Gas,144,3,Columboola,Queensland,3,150.2700209,-26.6682094
189,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Daandine,Operational,Compression Reciprocating Engine,Natural Gas,33,11,Kogan,Queensland,4,150.9430118,-27.0863072
190,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,German Creek,Operational,Spark Ignition Reciprocating Engine,Natural Gas,45.2,16,Middlemount,Queensland,3,148.551504,-22.928134
191,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Gladstone,Operational,Steam Subcritical,Coal,1680,6,Callemondah,Queensland,5,151.2186596,-23.8507402
192,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Isis Central Sugar Mill,Operational,Cogeneration - Steam Subcritical,Biomass,25,4,Isis Central,Queensland,5,152.2085624,-25.1939733
193,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kalamia Sugar Mill,Operational,Steam Subcritical,Biomass,9,1,Brandon,Queensland,3,147.4152444,-19.5223259
194,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kareeya,Operational,Hydroelectric - Run of River,Water,88,5,Cardstone,Queensland,5,145.5778727,-17.7669887
195,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kogan Creek,Operational,Steam Super Critical,Coal,744,1,Brigalow,Queensland,4,150.7492897,-26.9176705
196,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Millmerran,Operational,Steam Super Critical,Coal,856,2,Grays Gate,Queensland,5,151.2789552,-27.9615293
197,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Moranbah,Operational,Spark Ignition Reciprocating Engine,Natural Gas,12.6,0,Moranbah,Queensland,3,148.0246543,-21.9851172
198,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mount Stuart,Operational,Open Cycle Gas Turbine,Distillate,423,2,Stuart,Queensland,5,146.851178,-19.3379852
199,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Oakey,Operational,Open Cycle Gas Turbine,Natural Gas,282,2,Oakey,Queensland,5,151.6797115,-27.4183275
200,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Oaky Creek,Operational,Spark Ignition Reciprocating Engine,Natural Gas,20,16,Bundoora,Queensland,4,148.581709,-22.987763
201,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Stanwell,Operational,Steam Subcritical,Coal,1460,4,Stanwell,Queensland,5,150.3194728,-23.5097072
202,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tarong,Operational,Open Cycle Gas Turbine,Fuel Oil,15,1,Tarong,Queensland,3,151.9171702,-26.7857543
203,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tarong North,Operational,Steam Super Critical,Coal,443,1,Tarong,Queensland,5,151.9146079,-26.7757499
204,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tarong,Operational,Steam Subcritical,Coal,1400,4,Tarong,Queensland,5,151.9152794,-26.7823448
205,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Townsville,Operational,Combined Cycle Gas Turbine,Natural Gas,220,2,Yabulu,Queensland,5,146.6187145,-19.2010428
206,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yarwun,Operational,Open Cycle Gas Turbine,Natural Gas,154,0,Yarwun,Queensland,4,151.1519366,-23.8306322
207,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Macknade Sugar Mill,Operational,Steam Subcritical,Biomass,8,2,Macknade,Queensland,4,146.2579685,-18.5890298
208,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Victoria Sugar Mill,Operational,Steam Subcritical,Biomass,24,3,Victoria Plantation,Queensland,4,146.2016345,-18.6507908
209,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Callide C,Operational,Steam Super Critical,Coal,840,2,Mount Murchison,Queensland,5,150.6181876,-24.3449332
210,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Callide B,Operational,Steam Subcritical,Coal,700,2,Mount Murchison,Queensland,5,150.6197556,-24.3448672
211,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Callide A,Operational,Steam Subcritical,Coal,30,4,Mount Murchison,Queensland,5,150.6279796,-24.3340122
212,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Collinsville,Operational,Steam Subcritical,Coal,190,5,Collinsville,Queensland,5,147.8048943,-20.5446689
213,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Broome,Operational,,Natural Gas,39.6,17,Minyirr,Western Australia,5,122.2046113,-17.9810133
214,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Burrup Peninsula (Karratha Gas Plant),Operational,,Natural Gas,240,0,Burrup,Western Australia,5,116.7821568,-20.6286355
215,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Burrup Peninsula (Pluto Phase 1),Operational,,Natural Gas,160,0,Burrup,Western Australia,5,116.7801598,-20.5936665
216,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Esperance,Operational,,Natural Gas,33,7,West Beach,Western Australia,5,121.8998099,-33.8761864
217,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Karratha,Operational,,Natural Gas,86,2,Stove Hill,Western Australia,5,116.8374828,-20.7625535
218,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana (Alcoa Refinery),Operational,,Natural Gas,74.5,7,Naval Base,Western Australia,5,115.7796867,-32.1946216
219,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana,Operational,Gas Turbine,Natural Gas,21,1,Naval Base,Western Australia,5,115.7759562,-32.1969892
220,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana NewGen,Operational,Combined Cycle Gas Turbine,Natural Gas,320,1,Naval Base,Western Australia,5,115.7728317,-32.2019666
221,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana Swift,Operational,,Natural Gas,120,4,Kwinana Beach,Western Australia,5,115.7782876,-32.2242449
