OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
284,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Nymboida,Operational,Hydroelectric - Gravity,Water,33.6,7,Nymboida,New South Wales,5,152.7417138,-29.9257254
285,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Oaky,Operational,Hydroelectric - Gravity,Water,4.8,5,Wollomombi,New South Wales,5,152.0689757,-30.5751064
286,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Redbank,Operational,Steam Subcritical,Coal,150,1,Warkworth,New South Wales,5,151.0719416,-32.5801933
287,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Smithfield Energy,Operational,Combined Cycle Gas Turbine,Natural Gas,170.9,3,Smithfield,New South Wales,5,150.9494715,-33.8500273
288,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tahmoor,Operational,Reciprocating Engine,Coal Seam Methane,7,7,Bargo,New South Wales,5,150.5807755,-34.2482203
289,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tallawarra,Operational,Combined Cycle Gas Turbine,Natural Gas,460,1,Yallah,New South Wales,5,150.8080614,-34.5227653
290,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Teralba,Operational,Spark Ignition Reciprocating Engine,Natural Gas,3,4,Teralba,New South Wales,5,151.6119125,-32.9454773
291,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tomago Aluminium Smelter,Operational,,Natural Gas,810,3,Tomago,New South Wales,5,151.7178146,-32.8216386
292,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tower Mine,Operational,Reciprocating Engine,Coal Seam Methane,41.2,40,Douglas Park,New South Wales,5,150.7179465,-34.2206793
293,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tumut 1 (Upper Tumut),Operational,Hydroelectric - Gravity,Water,616,4,Cabramurra,New South Wales,2,148.3637156,-35.9517161
294,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tumut 2 (Upper Tumut),Operational,Hydroelectric - Gravity,Water,336,4,Cabramurra,New South Wales,3,148.367223,-35.8813712
295,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Uranquinty,Operational,Open Cycle Gas Turbine,Natural Gas,664,4,Uranquinty,New South Wales,5,147.2156979,-35.179382
296,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Vales Point B,Operational,Steam Subcritical,Coal,1360,2,Mannering Park,New South Wales,5,151.5431515,-33.1607323
297,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wallerawang C,Operational,Steam Subcritical,Coal,500,2,Wallerawang,New South Wales,5,150.0833507,-33.4028108
298,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Warragamba,Operational,Hydroelectric - Gravity,Water,50,1,Warragamba,New South Wales,4,150.5965461,-33.8832295
299,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,West Illawarra Leagues Club,Operational,Compression Reciprocating Engine,Distillate,1,0,Unanderra,New South Wales,5,150.8429124,-34.4515243
300,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Western Suburbs Leagues Club (Campbelltown),Operational,,Distillate,1,0,Leumeah,New South Wales,5,150.8328655,-34.0513133
301,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Burrendong,Operational,Hydroelectric - Gravity,Water,19,1,Yarragal,New South Wales,5,149.1079919,-32.6646031
302,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Copeton,Operational,Hydroelectric - Gravity,Water,24,1,Bundarra,New South Wales,5,150.923468,-29.9101853
303,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wilga Park,Operational,Reciprocating Engine,Coal Seam Methane,16,11,Bohena Creek,New South Wales,5,149.6771591,-30.3634242
304,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Guthega,Operational,Hydroelectric - Gravity,Water,80,2,Burrungubugge,New South Wales,5,148.4135335,-36.3500851
305,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Keepit,Operational,Hydroelectric - Gravity,Water,6.5,1,Keepit,New South Wales,4,150.4914049,-30.8791762
306,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Broken Hill,Operational,Open Cycle Gas Turbine,Natural Gas,50,2,Broken Hill,New South Wales,4,141.420341,-31.9862826
307,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Eraring,Operational,Steam Subcritical,Coal,2880,4,Eraring,New South Wales,5,151.5206534,-33.0620623
308,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Maryvale Mill,Operational,,Biomass,54.5,0,Maryvale,Victoria,4,146.447952,-38.1808797
309,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Grasmere Wind Farm (Albany Stage II),Operational,Wind Turbine,Wind,13.8,6,Sandpatch,Western Australia,5,117.7637715,-35.050637
310,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tully Sugar Mill,Operational,Steam Subcritical,Biomass,21.4,0,Tully,Queensland,4,145.9266601,-17.9373044
311,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Proserpine Sugar Mill,Operational,Cogeneration,Biomass,17,4,Proserpine,Queensland,4,148.5797236,-20.3985317
312,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,North Sydney,Operational,Spark Ignition Reciprocating Engine,Natural Gas,0.8,1,North Sydney,New South Wales,5,151.2053997,-33.8383689
313,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Sydney,Operational,Spark Ignition Reciprocating Engine,Natural Gas,0.8,1,Sydney,New South Wales,5,151.2091055,-33.8715343
314,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,North Sydney,Operational,Spark Ignition Reciprocating Engine,Natural Gas,2.4,2,North Sydney,New South Wales,5,151.2069336,-33.8397992
315,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Blackmores,Operational,Spark Ignition Reciprocating Engine,Natural Gas,0.8,2,Mona Vale,New South Wales,4,151.2908101,-33.6777574
316,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Nine Network,Operational,Compression Reciprocating Engine,Distillate,3.2,0,Willoughby,New South Wales,4,151.1966282,-33.8109514
317,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Revesby Workers Club,Operational,Compression Reciprocating Engine,Distillate,2.5,1,Revesby,New South Wales,4,151.0137387,-33.9534271
318,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,St George Leagues Club,Operational,Compression Reciprocating Engine,Distillate,1,1,Beverley Park,New South Wales,4,151.1293864,-33.9748047
319,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,University of New South Wales,Operational,Spark Ignition Reciprocating Engine,Natural Gas,0.8,1,Kensington,New South Wales,4,151.2353581,-33.9166916
320,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Norseman Mine,Operational,,Distillate,9,0,Norseman,Western Australia,3,121.7943437,-32.1962512
321,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Darlot Gold Mine,Operational,,Natural Gas,11.7,0,Lake Darlot,Western Australia,5,121.2697759,-27.8971935
322,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Windimurra Vanadium Mine,Operational,,Natural Gas,23.7,7,Paynesville,Western Australia,5,118.5371571,-28.2932995
323,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Rottnest Island Wind Turbine,Operational,Wind Turbine,Wind,0.6,1,Rottnest Island,Western Australia,5,115.5289247,-31.9937386
324,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Cloudbreak,Operational,,Distillate,44,18,Mulga Downs,Western Australia,5,119.4040267,-22.3246967
325,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Port Hedland,Operational,,Natural Gas,84,2,Boodarie,Western Australia,5,118.538384,-20.3781654
326,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Noranda,Operational,,Biogas,1.1,1,Mirrabooka,Western Australia,5,115.8773378,-31.865376
327,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Red Hill,Operational,,Biogas,3.7,4,Red Hill,Western Australia,5,116.0992503,-31.8316372
328,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Shenton Park WMRC Project,Operational,,Biogas,1,0,Karrakatta,Western Australia,5,115.7924542,-31.9576533
329,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kalamunda,Operational,,Distillate,1.3,1,Forrestfield,Western Australia,5,115.998804,-31.9767652
330,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Canning Vale,Operational,,Biogas,4,1,Canning Vale,Western Australia,5,115.8914164,-32.0738854
331,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Gosnells,Operational,,Biogas,1.1,1,Orange Grove,Western Australia,5,116.0128822,-32.0227376
332,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,KRC Cogeneration Plant,Operational,Steam Subcritical,Natural Gas,4.2,0,Hemmant,Queensland,3,153.118473,-27.4452543
333,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Melbourne,Operational,Spark Ignition Reciprocating Engine,Natural Gas,1.2,1,Melbourne,Victoria,5,144.9684861,-37.8085828
334,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Carlton,Operational,Compression Reciprocating Engine,Natural Gas,0.4,1,Carlton,Victoria,5,144.9606561,-37.8061051
335,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eildon Small Hydro,Operational,Hydroelectric - Gravity,Water,5,1,Eildon,Victoria,5,145.8974157,-37.2430587
336,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Corio,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,Corio,Victoria,5,144.4055817,-38.0586457
337,Power Station,A facility used for the generation of electrical power for distribution,Renewable,South East Water Hallam Plant,Operational,Hydroelectric - Gravity,Water,0.3,1,Hampton Park,Victoria,1,145.2781274,-38.023165
338,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lower Rubicon,Operational,Hydroelectric - Gravity,Water,13.6,1,Rubicon,Victoria,5,145.8457811,-37.3027115
339,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Royston,Operational,Hydroelectric - Gravity,Water,0.9,1,Rubicon,Victoria,5,145.8645326,-37.3739076
340,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Rubicon Falls,Operational,Hydroelectric - Gravity,Water,0.3,1,Rubicon,Victoria,5,145.8476845,-37.3400735
341,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Leonards Hill,Operational,Wind Turbine,Wind,4.1,2,Leonards Hill,Victoria,5,144.1221591,-37.4271225
342,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Box Hill,Proposed,Wind Turbine,Wind,25,0,Armidale,New South Wales,1,151.6838957,-30.499398
343,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Highbury,Operational,Spark Ignition Reciprocating Engine,Biogas,2,1,Highbury,South Australia,5,138.7202908,-34.8490155
344,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tea Tree Gully,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,St Agnes,South Australia,5,138.7128582,-34.8303135
345,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Port Stanvac,Operational,Compression Reciprocating Engine,Distillate,57.6,36,Lonsdale,South Australia,5,138.4914663,-35.1103818
346,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Maryborough,Operational,Steam Super Critical,Biomass,7.5,0,Maryborough,Queensland,4,152.7171024,-25.5475754
347,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Stapylton Green Energy,Operational,Steam Subcritical,Biomass,4.8,0,Stapylton,Queensland,4,153.2463086,-27.7334364
348,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bremer Bay Wind Turbine,Operational,Wind Turbine,Wind,0.6,1,Bremer Bay,Western Australia,5,119.3914918,-34.3989936
349,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bremer Bay Diesel Backup,Operational,,Distillate,1.3,1,Bremer Bay,Western Australia,5,119.3888147,-34.4018146
350,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Coral Bay Wind Turbines,Operational,Wind Turbine,Wind,0.8,3,Lyndon,Western Australia,5,113.7759389,-23.1537277
351,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Coral Bay Diesel Backup,Operational,,Distillate,2.2,8,Lyndon,Western Australia,5,113.7761893,-23.152131
352,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Denham Wind Turbines,Operational,Wind Turbine,Wind,0.9,4,Denham,Western Australia,5,113.5493215,-25.9115106
353,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Denham Diesel Backup,Operational,,Distillate,1.6,3,Denham,Western Australia,5,113.5339651,-25.9167116
354,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Woodman Point,Operational,,Biogas,1.8,3,Henderson,Western Australia,4,115.7713157,-32.1424065
355,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Henderson,Operational,,Biogas,3.2,3,Wattleup,Western Australia,5,115.8008109,-32.1650076
356,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tamala Park,Operational,,Biogas,4.7,0,Tamala Park,Western Australia,5,115.7266556,-31.7077727
357,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mandurah,Operational,,Biogas,1.3,0,Parklands,Western Australia,3,115.7586444,-32.5094277
358,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Rockingham,Operational,,Biogas,2.1,0,Baldivis,Western Australia,5,115.8153996,-32.2863091
359,Power Station,A facility used for the generation of electrical power for distribution,Renewable,South Cardup (Shale Road Landfill),Operational,,Biogas,3.3,3,Whitby,Western Australia,5,116.0193251,-32.2664228
360,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Cue,Operational,,Distillate,0.8,1,Cue,Western Australia,5,117.8887152,-27.4216209
361,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Sandstone,Operational,,Distillate,0.4,0,Sandstone,Western Australia,5,119.2949217,-27.9855711
362,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Nullagine Solar Farm,Operational,Solar Photovoltaic,Solar,0.2,900,Nullagine,Western Australia,5,120.111733,-21.8794875
363,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Nullagine Diesel Backup,Operational,,Distillate,1,0,Nullagine,Western Australia,5,120.1128721,-21.8794305
364,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Marble Bar Solar Farm,Operational,Solar Photovoltaic,Solar,0.3,1350,Marble Bar,Western Australia,5,119.7412096,-21.164331
365,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Marble Bar Diesel Backup,Operational,,Distillate,1.3,0,Marble Bar,Western Australia,5,119.7418611,-21.1649093
366,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Derby,Operational,,Natural Gas,12.5,0,Derby,Western Australia,5,123.6441592,-17.3141273
367,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Fitzroy Crossing,Operational,,Natural Gas,4.1,0,Fitzroy Crossing,Western Australia,5,125.5597202,-18.1955612
368,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Halls Creek,Operational,,Natural Gas,3.7,0,Halls Creek,Western Australia,5,127.6619059,-18.2327376
369,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Warmun,Operational,,Distillate,1.3,6,Warmun,Western Australia,5,128.2113285,-17.0258697
370,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kununurra,Operational,,Distillate,12.4,1,Kununurra,Western Australia,5,128.7394708,-15.7795429
371,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Laverton,Operational,,Distillate,1.5,1,Laverton,Western Australia,2,122.3964777,-28.62161
372,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Exmouth,Operational,,Natural Gas,8,7,Exmouth,Western Australia,5,114.1250083,-21.9464446
373,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tableland,Operational,Steam Super Critical,Biomass,7,0,Mutchilba,Queensland,4,145.3449776,-17.1192789
374,Power Station,A facility used for the generation of electrical power for distribution,Renewable,South Johnstone,Operational,Steam Super Critical,Biomass,20,0,South Johnstone,Queensland,4,145.9910081,-17.6056719
375,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mulgrave,Operational,Steam Super Critical,Biomass,13,0,Gordonvale,Queensland,4,145.7887191,-17.0931522
376,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Blue Lake Milling Power Plant,Operational,Compression Reciprocating Engine,Distillate,1,1,Bordertown,South Australia,4,140.7574687,-36.3164194
377,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tatiara Meats,Operational,Compression Reciprocating Engine,Distillate,0.5,1,Bordertown,South Australia,4,140.7367762,-36.326543
378,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kalumburu,Operational,,Distillate,0.7,5,Kalumburu,Western Australia,5,126.6439642,-14.2938417
379,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Ardyaloon,Operational,,Distillate,0.8,6,Dampier Peninsula,Western Australia,5,123.041383,-16.4444034
380,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Djarindjin,Operational,,Distillate,0.7,5,Dampier Peninsula,Western Australia,5,122.9035987,-16.5198939
381,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Beagle Bay,Operational,,Distillate,0.7,5,Dampier Peninsula,Western Australia,5,122.6585179,-16.9938863
382,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bidyadanga,Operational,,Distillate,1.3,0,Lagrange,Western Australia,5,121.7847903,-18.6816135
383,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Gascoyne Junction,Operational,,Distillate,0.4,0,Gascoyne Junction,Western Australia,4,115.2082995,-25.0556804
384,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wiluna,Operational,,Distillate,1.3,0,Wiluna,Western Australia,5,120.2185187,-26.5921463
385,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yalgoo,Operational,,Distillate,0.4,1,Yalgoo,Western Australia,5,116.683502,-28.3375232
386,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Carnarvon,Operational,,Natural Gas,15,13,East Carnarvon,Western Australia,5,113.6753858,-24.8691464
387,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mungullah,Operational,,Natural Gas,18,0,Brown Range,Western Australia,5,113.7095432,-24.8910382
388,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Exmouth Advanced Mini Wind Farm,Operational,Wind Turbine,Wind,0.1,3,North West Cape,Western Australia,5,114.1335158,-21.8126182
389,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Worsley,Operational,,Coal,120,4,Worsley,Western Australia,5,116.0688083,-33.2354799
390,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kalbarri PV System,Operational,Solar Photovoltaic,Solar,0,16,Kalbarri,Western Australia,5,114.1697024,-27.7152336
391,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Esperance Wind Farm Ten Mile Lagoon,Operational,Wind Turbine,Wind,2,9,Dalyup,Western Australia,5,121.7690488,-33.8801554
392,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Muja B,Decommissioned,Steam Subcritical,Coal,120,0,Muja,Western Australia,5,116.3087303,-33.4467934
393,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Muja A,Decommissioned,Steam Subcritical,Coal,120,0,Muja,Western Australia,5,116.3081193,-33.4466577
394,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Boco Rock,Operational,Wind Turbine,Wind,113,0,Springfield (Snowy Monaro Regional),New South Wales,5,149.12673,-36.5762977
395,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Ben Lomond,Proposed,Wind Turbine,Wind,200,0,Ben Lomond,New South Wales,3,151.6585358,-29.9622438
396,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bamarang,Proposed,Open Cycle Gas Turbine,Natural Gas,320,0,Bamarang,New South Wales,4,150.5258275,-34.9029683
397,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bango Wind Farm,Proposed,Wind Turbine,Wind,200,0,Kangiara,New South Wales,4,148.8292431,-34.5649089
398,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bankstown Sports Club,Operational,Compression Reciprocating Engine,Distillate,2,0,Bankstown,New South Wales,4,151.0332491,-33.9196869
399,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Belconnen,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,Macnamara,Australian Capital Territory,5,148.987224,-35.2141766
400,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Charlestown Square,Operational,Spark Ignition Reciprocating Engine,Natural Gas,2.8,1,Charlestown,New South Wales,4,151.693618,-32.9642427
401,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Club Merrylands,Operational,,Distillate,0.8,1,Merrylands,New South Wales,2,150.9905093,-33.8381028
402,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Erskine Park,Operational,Spark Ignition Reciprocating Engine,Natural Gas,0.4,1,Erskine Park,New South Wales,5,150.8032328,-33.8181939
403,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kooragang,Operational,Wind Turbine,Wind,0.6,1,Kooragang,New South Wales,5,151.7692646,-32.8821895
404,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kalbarri Wind Farm,Operational,Wind Turbine,Wind,1.7,2,Yallabatharra,Western Australia,5,114.1945623,-27.8983716
405,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wodgina,Operational,,Natural Gas,13.7,4,Marble Bar,Western Australia,5,118.6747307,-21.1738698
406,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Savannah Nickel Mine,Operational,,Distillate,10.8,0,Ord River,Western Australia,5,128.0330853,-17.3630815
407,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Meekatharra,Operational,,Distillate,2.9,0,Meekatharra,Western Australia,5,118.483032,-26.595158
408,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Leonora,Operational,,Natural Gas,4.4,7,Leonora,Western Australia,5,121.3212845,-28.8810627
409,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Menzies,Operational,,Distillate,0.3,1,Menzies,Western Australia,2,121.0251878,-29.6905883
410,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Onslow,Operational,Spark Ignition Reciprocating Engine,Natural Gas,3.6,6,Onslow,Western Australia,3,115.0990348,-21.6582082
411,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hopetoun Diesel Backup,Operational,,Distillate,1.3,0,Hopetoun,Western Australia,5,120.1299442,-33.9050353
412,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hopetoun Wind Turbines,Operational,Wind Turbine,Wind,1.2,2,Hopetoun,Western Australia,5,120.1296914,-33.90775
413,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Camballin,Operational,,Natural Gas,1,0,Camballin,Western Australia,5,124.1620943,-18.0277437
414,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Cawse Nickel Mine,Operational,,Natural Gas,21,0,Ora Banda,Western Australia,3,121.1634908,-30.3807922
415,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Buronga,Proposed,Open Cycle Gas Turbine,Natural Gas,150,0,Wentworth,New South Wales,1,142.261667,-34.1013286
416,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Glenorchy,Operational,Spark Ignition Reciprocating Engine,Biogas,1.6,2,Glenorchy,Tasmania,5,147.2550515,-42.8414502
417,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hobart,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,South Hobart,Tasmania,5,147.2888346,-42.8882466
418,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Musselroe,Operational,Wind Turbine,Wind,168,56,Cape Portland,Tasmania,5,148.0097437,-40.7797978
419,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kings Canyon,Operational,Solar Photovoltaic,Solar,0.2,0,Petermann,Northern Territory,5,131.5006584,-24.2509058
420,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bodangora Wind Farm,Operational,Wind Turbine,Wind,113,0,Bodangora,New South Wales,5,149.0998011,-32.4145873
421,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Broken Hill Solar Plant,Operational,Solar Photovoltaic,Solar,53,0,Broken Hill,New South Wales,5,141.3915525,-31.986694
422,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,McArthur River Mine,Operational,Reciprocating Engine,Natural Gas,78,6,McArthur,Northern Territory,5,136.0934678,-16.4334845
423,Power Station,A facility used for the generation of electrical power for distribution,Renewable,University of Queensland (St Lucia Campus) Solar Array,Operational,Solar Photovoltaic,Solar,1.2,5000,St Lucia,Queensland,5,153.0101436,-27.494946
424,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Perth Zoo,Operational,Solar Photovoltaic,Solar,2.4,755,South Perth,Western Australia,4,115.8547908,-31.9766494
425,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tulla Calder Interchange Solar Array,Operational,Solar Photovoltaic,Solar,0.2,210,Essendon North,Victoria,5,144.8948228,-37.7352656
426,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bridgewater Solar,Operational,Solar Photovoltaic,Solar,0.1,0,Bridgewater,Victoria,5,143.9528868,-36.6134859
427,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Monash University (Clayton Campus) Solar Array,Operational,Solar Photovoltaic,Solar,0.2,420,Clayton,Victoria,3,145.133002,-37.9117742
428,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Queen Victoria Market Solar Array,Operational,Solar Photovoltaic,Solar,0.3,1328,Melbourne,Victoria,5,144.9569497,-37.8069308
429,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bendigo Solar Park,Operational,Solar Photovoltaic,Solar,0.3,0,Huntly,Victoria,5,144.3032451,-36.6747392
430,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Adelaide Showgrounds,Operational,Solar Photovoltaic,Solar,1,0,Wayville,South Australia,5,138.5882008,-34.9452717
431,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Adelaide Airport,Operational,Solar Photovoltaic,Solar,0.1,0,Adelaide Airport,South Australia,5,138.5370632,-34.9383041
432,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Townsville RSL Stadium Solar Array,Operational,Solar Photovoltaic,Solar,0.3,1800,Annandale,Queensland,5,146.8010617,-19.3078479
433,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Fraser Coast Community Solar Farm,Operational,Solar Photovoltaic,Solar,0.4,1584,Nikenbah,Queensland,3,152.7901746,-25.318386
434,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Metricon (Gold Coast) Stadium Solar Array,Operational,Solar Photovoltaic,Solar,0.2,574,Carrara,Queensland,5,153.3671242,-28.0062616
435,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Carnarvon Solar Farm,Operational,Solar Photovoltaic,Solar,0.3,0,Massey Bay,Western Australia,4,113.6741265,-24.8970158
436,Power Station,A facility used for the generation of electrical power for distribution,Renewable,CSIRO Energy Centre,Operational,Solar Thermal,Solar,1.5,0,Mayfield West,New South Wales,5,151.727458,-32.8834604
437,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Newington Solar Suburb,Operational,Solar Photovoltaic,Solar,0.7,0,Newington,New South Wales,5,151.0538216,-33.8412794
