Location,postcode,state_code,state_name,LGA_NAME25,latitude,longitude,accuracy,geometry,MaxTemp_mean,MaxTemp_std,MinTemp_mean,MinTemp_std,Rainfall_mean,Rainfall_std,Humidity_mean,Sunshine_mean,WindGustSpeed_mean
Adelaide,5000.0,SA,South Australia,Adelaide,-34.9287,138.5986,4,POINT (600835.3880907068 -3829706.884294577),22.9454015544041,7.03006903606138,12.6283678756477,4.98460327738103,1.57218543046358,4.58895600866613,44.8200972447326,7.7520023557126,36.5308118682752
Albany,6330.0,WA,Western Australia,Albany,-35.0031,117.866,4,POINT (-1284004.6411751246 -3893563.746949829),20.0725871313673,3.6712269544077,12.9484612783226,3.55140128906507,2.25507343124166,5.10665587101023,67.3924870466321,6.65876494023904,0
Albury,2640.0,NSW,New South Wales,Albury,-36.0748,146.924,4,POINT (1341577.3455350166 -4019975.663794453),22.6309634551495,7.79672780777091,9.52089850249584,6.0620281214091,1.92571046472752,6.24905217870637,47.8849351513136,0,32.9530156614462
Alice Springs,870.0,NT,Northern Territory,Alice Springs,-23.735,133.8548,1,POINT (187152.82129957486 -2562267.0371751357),29.2441914191419,7.4616411553972,13.1251815181518,7.74912531193602,0.869355371900826,4.43270259129672,24.0783212161269,9.58194444444444,40.5337135189534
Badgerys Creek,2555.0,NSW,New South Wales,Liverpool,-33.8907,150.7427,4,POINT (1718160.8701119756 -3824811.564415494),24.0231111111111,5.99605369791836,11.1368998628258,5.62688381490768,2.20792492179354,7.43175860224474,51.4266482568174,0,33.6098901098901
Ballarat,3350.0,VIC,Victoria,Ballarat,-37.5662,143.8496,4,POINT (1050814.8875784695 -4155367.3885584227),18.2747935249422,7.19126679785619,7.35530227948464,4.71659409749313,1.68882996353994,4.67522228757661,59.0456651224355,0,44.9786950732357
Bendigo,3550.0,VIC,Victoria,Greater Bendigo,-36.7582,144.2802,4,POINT (1097458.561477288 -4070050.0210195277),21.6166831519947,7.62149170626486,8.59106495219255,5.69943777779151,1.62145214521452,5.18819308728143,46.4721397955819,0,38.8492830943648
Brisbane,4000.0,QLD,Queensland,Brisbane,-27.4679,153.0281,4,POINT (2043724.9335178786 -3147885.472408746),26.441526765917,3.89543238751974,16.4109984152139,4.61058404227067,3.16053639846743,11.6022267147015,53.8626269035533,8.08278188242852,28.2113795295613
Cairns,4870.0,QLD,Queensland,Cairns,-16.923,145.7663,4,POINT (1467901.0404777944 -1882322.865688289),29.544344042838,2.45679059443056,21.1991965182457,3.19265095457743,5.76531713900135,18.3471957852753,61.6773761713521,7.57599531615925,38.0679905755638
Canberra,2600.0,ACT,Australian Capital Territory,Unincorporated ACT,-35.2835,149.1281,4,POINT (1550347.6556827796 -3957731.1492380723),20.9806442166911,6.99503360901077,6.82768825080574,6.24985611699091,1.73503821281599,5.70904623321463,45.8326482677628,7.40324074074074,40.0821740537043
